artist,artist_id,track,composer,piece_path,youtube_link,album,album_date(yyyy-mm-dd),performer_label
Vladimir Horowitz,2,"Préludes, Book II: No. 5, Bruyères",Claude Debussy,".\audio\Claude_Debussy\Préludes,_Book_2,_L._123\No._5,_Bruyères\1.mp3",https://www.youtube.com/watch?v=GlNHoqjO7vg,"Vladimir Horowitz in Recital at Yale University, New Haven November 13, 1966",2015-12-11,20
Vladimir Horowitz,2,"4 Pieces, Op. 51: No. 2. Prelude",Alexander Scriabin,".\audio\Alexander_Scriabin\Four_Pieces,_Op._51\2._Prelude\0.mp3",https://www.youtube.com/watch?v=-pp6VlVuaxA,Vladimir Horowitz plays Scriabin (1953-1956),2011-06-07,20
Vladimir Ashkenazy,6,"Partita No. 5 In G Major, BWV 829: 7. Gigue",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\Partita_No._5_In_G_Major,_BWV_829\7._Gigue\4.mp3",https://www.youtube.com/watch?v=rxazqVH4UpA,"Bach, J.S.: The Six Partitas",2010-01-01,19
Wilhelm Kempff,28,"Goldberg Variations, BWV 988: Var. 11 a 2 Clav.",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\Goldberg_Variations,_BWV_988\Var._20_a_2_Clav\22.mp3",https://www.youtube.com/watch?v=Xg1v_jZI9dc,Deep Dive - Kempff,2022-02-18,22
Murray Perahia,13,"English Suite No. 5 in E Minor, BWV 810: VII. Gigue",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\English_Suite_No.5_in_E_minor,_BWV_810\6._Gigue\2.mp3",https://www.youtube.com/watch?v=pbUccFYioTw,"Bach: English Suites Nos. 2, 4 & 5",1999-01-11,14
Walter Gieseking,8,"Piano Sonata No. 16 in G Major, Op. 31, No. 1: I. Allegro vivace",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No.16_in_G,_Op.31_No.1\1._Allegro_vivace\9.mp3",https://www.youtube.com/watch?v=-sLsFbziidU,"Beethoven: Piano Sonatas, Vol. 4",2010-08-24,21
Alfred Cortot,3,"24 Preludes, Op. 28: No. 6 in B Minor: Lento assai",Frédéric Chopin,".\audio\Frédéric_Chopin\24_Préludes,_Op._28\No._6_in_B_Minor_Lento_assai\1.mp3",https://www.youtube.com/watch?v=DeQy--ZnsSU,Chopin: Piano Works,2014-10-28,1
András Schiff,4,"Piano Sonata No.4 in A minor, D.537: 1. Allegro ma non troppo",Franz Schubert,".\audio\Franz_Schubert\Piano_Sonata_No.4_in_A_minor,_D.537\1._Allegro_ma_non_troppo\0.mp3",https://www.youtube.com/watch?v=nh-bFvcpLRY,Schubert: Piano Sonatas; Impromptus,2011-01-01,3
Emil Gilels,1,"Pavane pour une infante defunte, M. 19 (Version for Piano)",Maurice Ravel,".\audio\Maurice_Ravel\Pavane_pour_une_infante_défunte,_M._19\3.mp3",https://www.youtube.com/watch?v=VzjVDTyDIGg,"Ravel, Schubert & J.S. Bach: Piano Works",2021-01-01,7
Murray Perahia,13,"Kreisleriana, Op. 16: III. Sehr aufgeregt",Robert Schumann,".\audio\Robert_Schumann\Kreisleriana,_Op._16\III._Sehr_aufgeregt\22.mp3",https://www.youtube.com/watch?v=BoKxiGXabv8,Schumann: Kreisleriana & Piano Sonata No. 1,1997-08-21,14
Vladimir Ashkenazy,6,"Preludes and Fugues for Piano, Op.87: Prelude & Fugue No.9 in E major: Prelude",Dmitri Shostakovich,".\audio\Dmitri_Shostakovich\Preludes_and_Fugues_for_Piano,_Op.87\Prelude_&_Fugue_No.9_in_E_major_Prelude\0.mp3",https://www.youtube.com/watch?v=_kcfk6KwYB8,"Shostakovich: 24 Preludes & Fugues, Op.87",1999-01-01,19
András Schiff,4,"French Suite No. 5 in G, BWV 816: 1. Allemande",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\French_Suite_No._5_in_G,_BWV_816\I._Allemande\4.mp3",https://www.youtube.com/watch?v=wBsneMQxXsk,"Bach, J.S.: French Suites Nos. 1-6/Italian Concerto etc.",1993-01-01,3
Murray Perahia,13,"Piano Sonata No. 2 in G Minor, Op. 22: III. Scherzo. Sehr rasch und markiert",Robert Schumann,".\audio\Robert_Schumann\Piano_Sonata_No._2_in_G_Minor,_Op._22\III._Scherzo._Sehr_rasch_und_markiert_(Remastered_2021)\1.mp3",https://www.youtube.com/watch?v=8Nyb9LCgiCw,Schubert: Piano Sonata No. 20 in A Major - Schumann: Piano Sonata No. 2 in G Minor,1988-04-19,14
Artur Schnabel,23,"6 Bagatelles, Op. 126: No. 6, Presto in E-Flat Major",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Bagatelles,_Op._126\No._6_in_E-Flat_Major\9.mp3",https://www.youtube.com/watch?v=oF7R04u87XU,"Beethoven: Diabelli Variations, Op. 120, Bagatelles, Op. 126 & Rondo a capriccio, Op. 129",2005-07-01,4
Vladimir Ashkenazy,6,"Partita No. 6 In E Minor, BWV 830: 1. Toccata",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\Partita_No._6_In_E_Minor,_BWV_830\1._Toccata\3.mp3",https://www.youtube.com/watch?v=sQwMPfEAHrI,"Bach, J.S.: The Six Partitas",2010-01-01,19
Maurizio Pollini,5,"Variations for Piano, Op. 27: 2. Sehr schnell",Anton Webern,".\audio\Anton_Webern\Variations_for_Piano,_Op._27\2._Sehr_schnell\3.mp3",https://www.youtube.com/watch?v=CwSx99hB0sY,Maurizio Pollini Edition,2001-01-01,12
András Schiff,4,"English Suite No.3 in G minor, BWV 808: 6. Gigue",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\English_Suite_No.3_in_G_minor,_BWV_808\6._Gigue\7.mp3",https://www.youtube.com/watch?v=kFhoX7SVRlY,The English Suites; Suites Nos.1 - 6,1988-01-01,3
Vladimir Ashkenazy,6,"12 Variations on the Russian Dance from ""Das Waldmädchen"" in A Major, WoO 71",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\12_Variations_on_the_Russian_Dance_from_Das_Waldmädchen_in_A_Major,_WoO_71\0.mp3",https://www.youtube.com/watch?v=l2xWG2v-Vnw,Beethoven: Diabelli Variations,2007-01-01,19
Friedrich Gulda,24,"Fantasy in C Minor, K. 475",Wolfgang Amadeus Mozart,".\audio\Wolfgang_Amadeus_Mozart\Fantasia_in_C_Minor,_K._475\27.mp3",https://www.youtube.com/watch?v=HqnZsQuxT8g,Message from G (Live),2016-11-04,8
Samson François,48,"Chopin: 24 Preludes, Op. 28: No. 21 in B-Flat Major",Frédéric Chopin,".\audio\Frédéric_Chopin\Prelude,_Op._28\No._21_in_B-Flat_Major\45.mp3",https://www.youtube.com/watch?v=cHOc0L4c86E,"Chopin: Preludes, Op.28 - 4 Impromptus [2011 - Remaster] (2011 Remastered Version)",2012-03-09,17
Claudio Arrau,11,"Chopin: Piano Sonata No. 3 in B Minor, Op. 58: III. Largo",Frédéric Chopin,".\audio\Frédéric_Chopin\Piano_Sonata_No._3_in_B_Minor,_Op._58\III._Largo\21.mp3",https://www.youtube.com/watch?v=YsGrA9Cgntc,Icon: Claudio Arrau,2011-02-21,5
Daniel Barenboim,9,"Piano Sonata No. 31 in A-Flat Major, Op. 110: II. Allegro molto",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._31_in_A-Flat_Major,_Op._110\II._Allegro_molto\15.mp3",https://www.youtube.com/watch?v=cM3aLUCtXys,Beethoven: Piano Sonatas Nos. 27-32,2020-10-30,6
Martha Argerich,7,"Gaspard de la nuit, M. 55: III. Scarbo (Live)",Maurice Ravel,".\audio\Maurice_Ravel\Gaspard_de_la_nuit,_M.55\Scarbo\6.mp3",https://www.youtube.com/watch?v=iqYi0JAcKe4,"Martha Argerich Live, Vol. 2",2017-01-20,11
Sviatoslav Richter,0,"Piano Sonata No. 30 in E Major, Op. 109: II. Prestissimo",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._30_in_E_Major,_Op._109\II._Prestissimo\1.mp3",https://www.youtube.com/watch?v=PnsWjW2aY30,Sviatoslav Richter Plays Beethoven,2017-09-01,18
Vladimir Ashkenazy,6,"English Suite No. 3 in G Minor, BWV 808: 3. Courante",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\English_Suite_No.3_in_G_minor,_BWV_808\3._Courante\8.mp3",https://www.youtube.com/watch?v=lmTNu8OHExY,Bach: English Suites 1-3,2021-10-15,19
Walter Gieseking,8,"Ravel: Miroirs, M. 43: III. Une barque sur l'océan",Maurice Ravel,".\audio\Maurice_Ravel\Miroirs,_M._43\No._3,_Une_barque_sur_l'océan\3.mp3",https://www.youtube.com/watch?v=AtuTsOExj2s,Ravel: Complete Piano Works [2011 - Remaster] (2011 Remastered Version),2012-03-16,21
Artur Schnabel,23,"Piano Sonata No. 3 in C Major, Op. 2, No. 3: I. Allegro con brio",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._3_in_C_Major,_Op._2_No._3\I._Allegro_con_brio\46.mp3",https://www.youtube.com/watch?v=evkyPShQpYc,Beethoven: Piano Sonatas Nos. 1-3 (Schnabel) (1933-1934),2002-10-12,4
Sviatoslav Richter,0,"Romance in F Major, Op. 51: No. 5",Pyotr Ilyich Tchaikovsky,".\audio\Pyotr_Ilyich_Tchaikovsky\6_Pieces,_Op.51,_TH.143\Romance_in_F_major,_Op._51_No._5\2.mp3",https://www.youtube.com/watch?v=wAFCMo83D9M,Tchaikovsky. Recital,1984,18
Friedrich Gulda,24,"Piano Sonata No. 17 in D Minor, Op. 31 No. 2 ""The Tempest"": I. Largo - Allegro",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._17_in_D_Minor,_Op._31_No._2_Tempest\I._Largo_-_Allegro\49.mp3",https://www.youtube.com/watch?v=1Qgb3dXND-k,"Beethoven: Piano Sonatas Nos. 14, 15, 17, 21-24 & 32",1973-01-01,8
Alfred Cortot,3,"Preludes, Op. 28: No. 20 in C Minor",Frédéric Chopin,".\audio\Frédéric_Chopin\24_Préludes,_Op._28\No._20_in_C_Minor_Largo\1.mp3",https://www.youtube.com/watch?v=1zCGn1T4Sm4,Chopin: Piano Works,2019-12-11,1
Artur Schnabel,23,"Beethoven: Piano Sonata No. 22 in F Major, Op. 54: II. Allegretto - Più allegro",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._22_in_F_Major,_Op._54\II._Allegretto_-_Più_allegro\11.mp3",https://www.youtube.com/watch?v=W2pdVr4CJas,Beethoven: Complete Piano Sonatas (2016 Remaster),2016-08-26,4
Alfred Brendel,19,"6 Moments musicaux, Op. 94, D. 780: No. 3 in F Minor. Allegro moderato",Franz Schubert,".\audio\Franz_Schubert\6_Moments_musicaux,_Op.94_D.780\No.3_in_F_minor_(Allegro_moderato)\16.mp3",https://www.youtube.com/watch?v=0XlUsEfcKB0,Brendel Plays Schubert,2000-01-01,0
Maurizio Pollini,5,"12 Études, Op. 25: No. 1 in A-Flat Major ""Harp Study""",Frédéric Chopin,".\audio\Frédéric_Chopin\12_Études,_Op._25\No._1_in_A-Flat_Major_Harp_Study\2.mp3",https://www.youtube.com/watch?v=O-sxZWpkRkY,Chopin,2011-01-01,12
Daniel Barenboim,9,"33 Piano Variations In C, Op.120 On A Waltz By Anton Diabelli: Variation X (Presto)",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\33_Piano_Variations_In_C,_Op._120_On_A_Waltz_By_Anton_Diabelli\Variation_X._Presto\4.mp3",https://www.youtube.com/watch?v=edAfUOoa73E,Beethoven: Diabelli Variations; Moonlight Sonata,2001-01-01,6
Alfred Brendel,19,"33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XII (Un poco più moto) - Live",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\33_Piano_Variations_In_C,_Op._120_On_A_Waltz_By_Anton_Diabelli\Variation_XII._Un_poco_più_moto\9.mp3",https://www.youtube.com/watch?v=EG8So8OxBb8,Beethoven: Great Pianists of the 20th Century Vol.13,1999-01-01,0
Walter Gieseking,8,"Piano Sonata No. 8 in A Minor, K. 310: III. Presto",Wolfgang Amadeus Mozart,".\audio\Wolfgang_Amadeus_Mozart\Piano_Sonata_No.8_in_A_minor,_K.310\3._Presto\6.mp3",https://www.youtube.com/watch?v=X33ehJNUnco,"Walter Gieseking: Lightness & Clarity, Vol. 8",2021-08-20,21
Vladimir Horowitz,2,"Kinderszenen, Op. 15: IX. Ritter von Steckenpferd",Robert Schumann,".\audio\Robert_Schumann\Kinderszenen,_Op._15\9._Ritter_vom_Steckenpferd\15.mp3",https://www.youtube.com/watch?v=7fpmJ4IiSGk,The Original Jacket Collection- Vladimir Horowitz,1928,20
Friedrich Gulda,24,"8 Fantasiestücke, Op. 12: 2. Aufschwung",Robert Schumann,".\audio\Robert_Schumann\8_Fantasiestücke,_Op._12\2._Aufschwung\18.mp3",https://www.youtube.com/watch?v=eYhuJJlZkLQ,Schumann: Liederkreis Op. 39; Fantasiestücke Op. 12,1984-01-01,8
Robert Casadesus,21,"Ballade No. 3 in A-Flat Major, Op. 47 - Remastered",Frédéric Chopin,".\audio\Frédéric_Chopin\Ballade_No._3_in_A-Flat_Major,_Op._47\24.mp3",https://www.youtube.com/watch?v=CUqsGFN_5nE,Chopin: Piano Sonata No. 2 & Ballades Nos. 1-4 (Remastered),1947,16
Walter Gieseking,8,"Piano Sonata No. 10 in C Major, K. 330: I. Allegro moderato",Wolfgang Amadeus Mozart,".\audio\Wolfgang_Amadeus_Mozart\Piano_Sonata_No._10_In_C_Major,_K.330\1._Allegro_moderato\7.mp3",https://www.youtube.com/watch?v=tSjv9UbkLeY,"Walter Gieseking: Lightness & Clarity, Vol. 9",2021-08-20,21
Samson François,48,"Chopin: Nocturne No. 17 in B Major, Op. 62 No. 1",Frédéric Chopin,".\audio\Frédéric_Chopin\Nocturne_No._17_in_B_major,_Op._62_No._1\10.mp3",https://www.youtube.com/watch?v=8AY-IIFUh2A,Intégrale de des Enregistrements,2010-10-20,17
Vladimir Horowitz,2,"Piano Sonata No. 2 in B-Flat Minor, Op. 36: I. Allegro agitato",Sergei Rachmaninoff,".\audio\Sergei_Rachmaninoff\Piano_Sonata_No._2_in_B-Flat_Minor,_Op._36_-_1913_Version\1._Allegro_agitato\7.mp3",https://www.youtube.com/watch?v=QP05_g5chXU,Vladimir Horowitz: The Complete Masterworks Recordings 1962-1973,1962,20
Friedrich Gulda,24,"10 Variations in G, K.455 on ""Unser dummer Pöbel meint"" by C.W. Gluck",Wolfgang Amadeus Mozart,".\audio\Wolfgang_Amadeus_Mozart\Ten_Variations_in_G,_K.455_on_Unser_dummer_Pöbel_meint_by_C.W._Gluck\1.mp3",https://www.youtube.com/watch?v=Uyg3O1KZFWU,Gulda plays Mozart,2022-01-23,8
Alfred Cortot,3,"Preludes, Op. 28: No. 15 in D-Flat Major ""Raindrop""",Frédéric Chopin,".\audio\Frédéric_Chopin\24_Préludes,_Op._28\No._15_in_D-Flat_Major_Raindrop_Sostenuto\2.mp3",https://www.youtube.com/watch?v=i4DdW7tj6OI,Chopin: Piano Works,2019-12-11,1
Artur Schnabel,23,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._8_in_C_Minor,_Op._13_Pathétique\I._Grave_-_Allegro_di_molto_e_con_brio\57.mp3",https://www.youtube.com/watch?v=IBx8Xx1diT8,Beethoven: Complete Piano Sonatas (2016 Remaster),2016-08-26,4
Walter Gieseking,8,"Piano Sonata No. 27 in E Minor, Op. 90: I. Mit lebhaftigkeit und durchaus mit Empfindung und Ausdruck",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._27_in_E_Minor,_Op._90\I._Mit_Lebhaftigkeit_und_durchaus_mit_Empfindung_und_Ausdruck\12.mp3",https://www.youtube.com/watch?v=XTzQHgP1WFo,Beethoven: 10 Piano Sonatas (Remastered),2015-06-01,21
Sviatoslav Richter,0,"12 Etudes d'exécution transcendante, S.139: No.5 Feux follets (Allegretto)",Franz Liszt,".\audio\Franz_Liszt\12_Etudes_d'exécution_transcendante,_S.139\No._5_Feux_follets_(Allegretto)\1.mp3",https://www.youtube.com/watch?v=Uliu-G40-SE,The Essential Richter,1996-01-01,18
Vladimir Ashkenazy,6,"Three Fantastic Dances, Op.5: 2. Andantino. Allegretto",Dmitri Shostakovich,".\audio\Dmitri_Shostakovich\Three_Fantastic_Dances,_Op._5\1._Allegretto\1.mp3",https://www.youtube.com/watch?v=EEAaVWF-GD4,Shostakovich: Solo Piano Works,2010-01-01,19
Lang Lang,39,"Fantasy in C Major, Op. 15, D. 760 ""Wanderer"": 4. Allegro - Live",Franz Schubert,".\audio\Franz_Schubert\Fantasy_in_C_Major,_Op._15,_D._760_Wanderer-Fantasy\IV._Allegro\10.mp3",https://www.youtube.com/watch?v=tX6a4gjT0ms,Lang Lang - Live at Carnegie Hall,2004-01-01,10
Wilhelm Kempff,28,"Piano Sonata No. 20 in G Major, Op. 49 No. 2: I. Allegro ma non troppo",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._20_in_G_Major,_Op._49_No._2\I._Allegro_ma_non_troppo\34.mp3",https://www.youtube.com/watch?v=oxGQrUQgOoU,Beethoven: The Piano Sonatas,1995-01-01,22
Robert Casadesus,21,"Ballade No. 4 in F Minor, Op. 52",Frédéric Chopin,".\audio\Frédéric_Chopin\Ballade_No._4_in_F_Minor,_Op._52,_B._146\36.mp3",https://www.youtube.com/watch?v=NybGDg1_i9M,The Complete French Columbia Recordings (1928-1939),2019-10-18,16
Vladimir Horowitz,2,Pictures at an Exhibition: 1. Gnomus,Modest Mussorgsky,.\audio\Modest_Mussorgsky\Pictures_at_an_Exhibition\I._Gnomus\4.mp3,https://www.youtube.com/watch?v=u1VeO0EZ_BE,"Tchaikovsky: Piano Concerto No. 1, NBC Symphony Orchestra; Mussorgsky: Pictures at an Exhibition",1992-10-09,20
Walter Gieseking,8,"Piano Sonata No. 28 in A Major, Op. 101: III. Langsam und sehnsuchtsvoll. Adagio, ma non troppo, con affetto",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._28_in_A_Major,_Op._101\III._Langsam_und_sehnsuchtsvoll\17.mp3",https://www.youtube.com/watch?v=rs33V2xoEdc,"Beethoven: Piano Sonatas, Vol. 2",2015-01-06,21
Friedrich Gulda,24,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": III. Presto agitato",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._14_in_C-Sharp_Minor,_Op._27_No._2_Moonlight\3._Presto_agitato\47.mp3",https://www.youtube.com/watch?v=aRd9HxtFW2U,"Milestones of a Piano Legend: Friedrich Gulda, Vol. 4",2018-10-05,8
Daniel Barenboim,9,"Beethoven: Piano Sonata No. 4 in E-Flat Major, Op. 7: I. Allegro molto e con brio",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._4_in_E-Flat_Major,_Op._7_Grand\I._Allegro_molto_e_con_brio\3.mp3",https://www.youtube.com/watch?v=Iagy87_375A,Beethoven: Complete Piano Sonatas & Diabelli Variations,2021-08-20,6
Martha Argerich,7,"Piano Sonata No. 3 in B Minor, Op. 58: I. Allegro maestoso",Frédéric Chopin,".\audio\Frédéric_Chopin\Piano_Sonata_No._3_in_B_Minor,_Op._58\I._Allegro_maestoso\22.mp3",https://www.youtube.com/watch?v=KvFLWatPBnU,Martha Argerich - Works for Solo Piano,1997-01-01,11
Maurizio Pollini,5,"Piano Sonata No. 31 in A-Flat Major, Op. 110: II. Allegro molto",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._31_in_A-Flat_Major,_Op._110\II._Allegro_molto\8.mp3",https://www.youtube.com/watch?v=BuHCvE2Cqpg,Beethoven: Complete Piano Sonatas,2014-11-01,12
Sviatoslav Richter,0,"Polonaise No.1 in C Sharp Minor, Op.26 No.1",Frédéric Chopin,".\audio\Frédéric_Chopin\Polonaise_No.1_in_C_Sharp_Minor,_Op.26_No.1\0.mp3",https://www.youtube.com/watch?v=459ZE3r1Shw,Richter the Master - Bach & Chopin,1993-01-01,18
Wilhelm Kempff,28,"Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": I. Allegro assai",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._23_in_F_Minor,_Op._57_Appassionata\I._Allegro_assai\114.mp3",https://www.youtube.com/watch?v=7aXEayqNAcc,Schumann / Brahms: Complete 1950s Solo Recordings,2003-01-01,22
Vladimir Horowitz,2,"Kinderszenen, Op. 15: 11. Fürchtenmachen",Robert Schumann,".\audio\Robert_Schumann\Kinderszenen,_Op._15\11._Fürchtenmachen\12.mp3",https://www.youtube.com/watch?v=VMU1457Ll00,Vladimir Horowitz: The Complete Masterworks Recordings 1962-1973,1962,20
Vladimir Ashkenazy,6,"Etudes-Tableaux, Op.39: No.8 in D Minor",Sergei Rachmaninoff,".\audio\Sergei_Rachmaninoff\Etudes-Tableaux,_Op.39\No.8_in_D_Minor\6.mp3",https://www.youtube.com/watch?v=ktaG3egWn_Q,Rachmaninov: The Complete Recordings,2014-01-01,19
Emil Gilels,1,"Piano Sonata No. 3 in C Major, Op. 2 No. 3: IV. Allegro assai",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._3_in_C_Major,_Op._2_No._3\IV._Allegro_assai\8.mp3",https://www.youtube.com/watch?v=IRUl8Ylfkts,The Russian Piano Tradition: Emil Gilels,2007-05-01,7
Murray Perahia,13,"French Suite No. 5 in G Major, BWV 816: II. Courante",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\French_Suite_No._5_in_G,_BWV_816\2._Courante\8.mp3",https://www.youtube.com/watch?v=Zw40laOYwKY,Johann Sebastian Bach: The French Suites,2016-10-07,14
Murray Perahia,13,"Piano Sonata No. 3 in F Minor, Op. 5: V. Finale. Allegro moderato ma rubato",Johannes Brahms,".\audio\Johannes_Brahms\Piano_Sonata_No.3_in_F_minor,_Op.5\5._Finale_(Allegro_moderato_ma_rubato)\6.mp3",https://www.youtube.com/watch?v=oChUC0eLoL0,Murray Perahia Plays Brahms and Schubert,1983,14
Mitsuko Uchida,26,"Piano Sonata No. 3 in B Minor, Op. 58: IV. Finale. Presto non tanto",Frédéric Chopin,".\audio\Frédéric_Chopin\Piano_Sonata_No._3_in_B_Minor,_Op._58\IV._Finale._Presto_non_tanto\35.mp3",https://www.youtube.com/watch?v=I4xG9wCKcpk,Chopin: Piano Sonatas Nos. 2 & 3,1988-01-01,13
Claudio Arrau,11,"Piano Sonata No.9 in D, K.311: 2. Andantino con espressione",Wolfgang Amadeus Mozart,".\audio\Wolfgang_Amadeus_Mozart\Piano_Sonata_No.9_in_D,_K.311\2._Andantino_con_espressione\6.mp3",https://www.youtube.com/watch?v=YXmkIZFdob4,Mozart,2003-01-01,5
Lang Lang,39,"Goldberg Variations, BWV 988: Variatio 29 a 1 ovvero 2 Clav. - Live at Thomaskirche Leipzig / 2020",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\Goldberg_Variations,_BWV_988\Var._29_a_1_ovvero_2_Clav\10.mp3",https://www.youtube.com/watch?v=qvFZYRmq-jI,Bach: Goldberg Variations (Extended Edt.),2021-02-12,10
Samson François,48,"Chopin: Nocturne No. 3 in B Major, Op. 9 No. 3",Frédéric Chopin,".\audio\Frédéric_Chopin\Nocturne_No._3_in_B_Major,_Op._9\5.mp3",https://www.youtube.com/watch?v=AguUIBflHZU,Intégrale de des Enregistrements,2010-10-20,17
Maurizio Pollini,5,"Piano Sonata No. 32 in C Minor, Op. 111: II. Arietta - Adagio molto semplice e cantabile",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._32_in_C_Minor,_Op._111\II._Arietta._Adagio_molto_semplice_e_cantabile\11.mp3",https://www.youtube.com/watch?v=lBPj0jHuSPQ,The Art of Maurizio Pollini,2012-01-01,12
Mitsuko Uchida,26,"Piano Sonata No.19 in C minor, D.958: 4. Allegro",Franz Schubert,".\audio\Franz_Schubert\Piano_Sonata_No.19_in_C_minor,_D.958\1._Allegro\41.mp3",https://www.youtube.com/watch?v=DyBP-EDPbXc,Mitsuko Uchida plays Schubert,2004-01-01,13
Samson François,48,"Chopin: Nocturne No. 16 in E-Flat Major, Op. 55 No. 2",Frédéric Chopin,".\audio\Frédéric_Chopin\Nocturne_No._16_in_E-Flat_Major,_Op._55_No._2\13.mp3",https://www.youtube.com/watch?v=RtnU5sFer_0,Chopin: Nocturnes Nos.1-19,2012-05-01,17
Vladimir Ashkenazy,6,"Nocturne No. 5 in F-Sharp Major, Op. 15 No. 2",Frédéric Chopin,".\audio\Frédéric_Chopin\Nocturne_No._5_in_F-Sharp_Major,_Op._15_No._2\9.mp3",https://www.youtube.com/watch?v=OYfir4lc1u0,Essential Chopin,2003-01-01,19
Murray Perahia,13,"Davidsbündlertänze, Op. 6: No. 11. Einfach",Robert Schumann,".\audio\Robert_Schumann\Davidsbündlertänze,_Op._6\11._Einfach\9.mp3",https://www.youtube.com/watch?v=kjK3q92mMcI,"Schumann: Davidsbündlertänze, Op. 6 & Fantasiestücke, Op. 12",1973,14
Daniel Barenboim,9,"Piano Sonata No. 18 in E-Flat Major, Op. 31 No. 3 ""The Hunt"": 3. Menuetto. Moderato e grazioso",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._18_in_E-Flat_Major,_Op._31_No._3_The_Hunt\III._Menuetto._Moderato_e_grazioso\6.mp3",https://www.youtube.com/watch?v=j84DB7mp1KU,Beethoven For All - The Piano Sonatas,2006-01-01,6
Sviatoslav Richter,0,"Piano Sonata No. 6 in A Major, Op. 82: II. Allegretto",Sergei Prokofiev,".\audio\Sergei_Prokofiev\Piano_Sonata_No.6,_Op.82\2._Allegretto\2.mp3",https://www.youtube.com/watch?v=DRgFI47UPk0,"Prokofiev: Piano Sonatas Nos. 6, 7 & 9",2015-05-05,18
Vladimir Horowitz,2,"Piano Sonata No. 28, Op. 101: I. Etwas lebhaft, und mit der innigsten Empfindung (Allegretto, ma non troppo)",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._28_in_A_Major,_Op._101\I._Etwas_lebhaft_und_mit_der_innigsten_Empfindung\10.mp3",https://www.youtube.com/watch?v=aO8NGyl53hg,"Vladimir Horowitz in Recital at Orchestra Hall, Chicago, May 12, 1968",1971,20
Artur Schnabel,23,"Kinderszenen, Op. 15: No. 3, Hasche-Mann",Robert Schumann,".\audio\Robert_Schumann\Kinderszenen,_Op._15\3._Hasche-Mann\29.mp3",https://www.youtube.com/watch?v=OoU0HyEAWkY,The 1946-47 HMV Solo Recordings,1998-12-01,4
Emil Gilels,1,"Piano Sonata No. 2 in B Minor, Op. 61: I. Allegretto - Live",Dmitri Shostakovich,.\audio\Dmitri_Shostakovich\Piano_Sonata_No.2_Op.61\1._Allegretto\0.mp3,https://www.youtube.com/watch?v=1RR1Zo8Vi_U,Live In London,2017-04-28,7
Claudio Arrau,11,"Piano Sonata No.28 in A, Op.101: 1. Etwas lebhaft und mit der innigsten Empfindung (Allegretto ma non troppo)",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._28_in_A_Major,_Op._101\I._Etwas_lebhaft_und_mit_der_innigsten_Empfindung\26.mp3",https://www.youtube.com/watch?v=wuHvgjhYo0Y,Beethoven: Complete Piano Sonatas,2012-01-01,5
